ANGUIFORME	Qui a la forme d’une anguille ou d’un serpent.
ANGUILLULE	Nom donné à plusieurs espèces de vers nématodes filiformes parasites de l’homme, de l’animal, et de certains végétaux, et auxquels on attribue la propriété de revenir à la vie après avoir été complètement desséchés.
ANIMALCULE	Petit animal qu’on ne peut voir qu’à l’aide du microscope dans certains liquides.
ANIMALERIE	Lieu d'élevage des animaux, notamment dans un laboratoire où ils sont utilisés pour des expériences.
ANIMALISER	Se transformer en animal.
ANIMALISME	Qualité, nature de l’état animal.
ANIMALISTE	Personne qui croit que l’embryon est formé dans la semence du mâle.
ANIMATIQUE	Animation par ordinateur présentant l'ébauche d'une future réalisation.
ANIMATRICE	Celle qui anime un groupe.
ANISAKIASE	Parasitose cosmopolite, observée surtout au Japon, causée par des nématodes parasites du genre Anisakis.
ANISOCORIE	Trouble pupillaire caractérisé par une différence de diamètre entre les pupilles des yeux d'une même personne.
ANISOGAMIE	Se dit quand un gamète (mâle ou femelle) est plus gros ou différent.
ANISOTROPE	Qui possède des propriétés différentes selon la direction.
ANJOUANAIS	Dialecte de la langue comorienne parlé à Anjouan.
ANKYLOSANT	Qui provoque une ankylose.
ANNIHILANT	Qui annihile.
ANNONCEUSE	Celle qui annonce.
ANNOTATEUR	Celui qui fait des annotations sur un texte.
ANNOTATION	Action d’annoter.
ANNUALISER	Rendre annuel.
ANNULATION	Action d’annuler.
ANONYMISER	Rendre anonyme de manière réversible. Par exemple on anonymise une copie d'un élève. Le procédé doit être réversible afin d'associer la note de la copie avec le nom de l'élève. À l'inverse anonymer consiste à rendre anonyme de manière définitive. Par exemple on anonyme les données informatiques d'un logiciel dans le cadre d'une démonstration.
ANORCHIDIE	Absence congénitale ou acquise de testicule.
ANOREXIQUE	Atteint d’anorexie.
ANORGASMIE	Absence d’orgasme, le désir sexuel étant conservé.
ANSPESSADE	Dans l’infanterie de l’Ancien Régime, sous-officier moins gradé que le caporal.
ANTALGIQUE	Antidouleur.
ANTAMANIDE	Une des substances actives de l’amanite phalloïde.
ANTENNAIRE	Qui a rapport aux antennes.
ANTENNISTE	À antennes.
ANTHOCYANE	Pigment végétal hydrosoluble allant du rouge au bleu, appartenant à la classe des flavonoïdes, et qui est un hétéroside complexe composé d’une portion aromatique aglycone qui est le pigment proprement dit conférant la couleur, et d’une portion glucidique (i.e. un sucre).
ANTHOLOGIE	Collection de fleurs.
ANTHOPHAGE	Qui se nourrit de fleurs.
ANTHRACITE	Variété de charbon minéral, à reflet métallique et à combustion lente.
ANTHRACOSE	Ulcère corrosif.
ANTHRISQUE	Genre de plantes de la famille des apiacées, et qui comprend le cerfeuil.
ANTHROPIEN	Qui appartient au groupe zoologique réunissant l’ensemble des formes fossiles et actuelles ayant les caractéristiques propres au type humain.
ANTHYLLIDE	Genre de la famille des fabacées (Fabaceae) ou légumineuses.
ANTIAMARIL	Qui combat la fièvre jaune.
ANTICIPANT	Fièvres anticipantes : Dont les accès se rapprochent.
ANTICLINAL	Pli convexe de couches géologiques.
ANTIDOPAGE	Destiné à lutter contre le dopage.
ANTIDROGUE	Qui lutte contre la drogue.
ANTIFISCAL	Opposé à une fiscalité trop lourde.
ANTIGUAISE	Habitante ou originaire de l’île d’Antigua.
ANTIGUAYEN	Habitant ou originaire de l’île d’Antigua.
ANTIGUERRE	Personne opposée à la guerre.
ANTIHAUSSE	Qui tente de limiter la hausse des prix.
ANTILEPTON	Antiparticule du lepton.
ANTILLAISE	Habitante des Antilles, originaire des Antilles.
ANTILOGIES	Pluriel dʼantilogie.
ANTIMONIAL	Relatif à l'antimoine.
ANTIPATHIE	Aversion, répugnance naturelle et non raisonnée pour quelqu’un, pour quelque chose.
ANTIPHRASE	Figure de style, par laquelle on emploie un mot, une locution, une phrase, pour signifier le contraire.
ANTIPOISON	Substance qui neutralise un produit toxique.
ANTIPROTON	Antiparticule du proton.
ANTIPYRINE	Amine de formule chimique , remède antalgique, anti-inflammatoire et fébrifuge. Ancien traitement de la tuberculose, en France elle n'est plus utilisée qu'en usage local.
ANTIQUAIRE	Celui, celle qui recherche pour les vendre des objets anciens.
ANTIREFLET	Qui empêche ou diminue les reflets.
ANTIROULIS	Qui lutte contre le roulis.
ANTISEPSIE	Destruction des micro-organismes pathogènes capables de provoquer des infections
ANTISOCIAL	Qui est contraire à la société, qui tend à la dissolution de la société.
ANTISTRESS	Qui réduit le stress.
ANTITARTRE	Qui détruit le tartre.
ANTITOXINE	Substance sécrétée par l’organisme, dont l’effet est de détruire une toxine.
ANTITUSSIF	Destiné à lutter contre la toux, à en limiter les effets.
ANTOINISME	mouvement religieux inspiré du christianisme, célébrant les fêtes du catholicisme romain.
ANTOINISTE	Adepte de l’antoinisme.
ANTONOMASE	Figure de style par laquelle un nom commun ou une périphrase désigne un nom propre.
ANTRUSTION	Vassal volontaire qui servait un prince dans une expédition.
APAGOGIQUE	Qui relève de l’apagogie.
APAISEMENT	Action d’apaiser ou résultat de cette action.
APANAGISTE	Qui possédait un apanage.
APATOSAURE	Dinosaure herbivore qui pesait trente tonnes, à très long cou et très longue queue.
APERCEPTIF	Qui a la faculté d’apercevoir, de percevoir.
APERCEVOIR	Commencer à voir.
APESANTEUR	Absence de pesanteur.
APHRODISIE	Culte de l’amour physique.
APICULTEUR	Celui qui élève des abeilles.
APICULTURE	Domestication et élevage des abeilles dans le but d’en obtenir certains produits (comme le miel, la cire, la gelée royale ou la propolis) ou services (comme la pollinisation).
APIGEONNER	Attirer par de beaux discours, par de beaux semblants, enjôler, dans le but de tromper.
APOCALYPSE	Livre canonique et dernier livre du Nouveau Testament. Selon la tradition des Pères de l'Église, l’Apocalypse (ou ') contient les révélations faites à un prophète nommé Jean dans l’île de Patmos, au début de l’ère chrétienne, sans qu’on puisse préciser davantage. Cette « révélation de Jésus-Christ » (Ap 1,1) dévoile à Jean le sens divin de son époque et annonce la fin des temps.
APODIFORME	Qui concerne ou qui est caractéristique des apodiformes.
APOLITIQUE	Relatif au citoyen n'exerçant pas son droit civique.
APOLITISME	Absence d’engagement politique.
APOLLINIEN	Relatif à Apollon, le dieu du soleil et des arts.
APOLOGIQUE	Qui a le caractère de l’apologie.
APOLOGISTE	Celui ou celle qui fait l’apologie de quelqu’un ou de quelque chose.
APOMORPHIE	État dérivé d’un caractère biologique.
APOPHTEGME	Parole mémorable, , , .
APOSTASIER	Faire acte d’apostasie.
APOSTILLER	Revêtir d’une apostille, d’apostilles la marge ou le bas d’un écrit, d’un mémoire, d’une pétition, etc.
APOSTROPHE	Apostrophe dactylographique.
APPARAITRE	Être déduit de l'enquête.
APPARENTER	Rendre parent par alliance.
APPARITEUR	Huissier d’une mairie.
APPARITION	Passage rapide.
APPARTENIR	Incomber.
APPELLATIF	Substantif servant à désigner toute une classe d'individus.
APPERTISER	Traiter (des aliments) par appertisation pour leur assurer une bonne conservation.
