ABAISSER	Se baisser.
APOCRINE	Mode de sécrétion de certaines glandes dans lequel la cellule a deux pôles bien séparés ; le pôle basal regroupe les organites nécessaires à la sécrétion, le pôle apical se forme progressivement, au fur et à mesure que la substance est produite ; lors de l’excrétion par suintement, le pôle apical se fragmente ; la cellule peut ensuite reprendre un cycle de sécrétion.
APOGAMIE	Mode de reproduction asexuée diploïde, sans fécondation, créant ainsi des graines génétiquement identiques à la plante mère.
APOLOGIE	Paroles ou écrits destinés à justifier ou à défendre quelqu’un ou quelque chose.
APOLOGUE	Récit à visée argumentative et allégorique qui prétend moraliser ou instruire et qui ne se soucie pas toujours de sa vraisemblance.
APOMIXIE	Mode de reproduction asexuée diploïde, sans fécondation, créant ainsi des graines génétiquement identiques à la plante mère.
APOPHYSE	Épine, protubérance.
APOPTOSE	Mort cellulaire programmée.
APOSTATE	Femme ayant abandonné sa religion, qui a fait acte d’apostasie.
APPAIRER	Apparier.
APPARAUX	Ensemble d’engins de gymnastique.
APPAREIL	Avion.
APPARENT	Qui est visible, évident, manifeste.
APPARIER	Accoupler le mâle avec la femelle de certains oiseaux.
APPAROIR	Apparaître.
APPELANT	Appeau.
APPENDRE	Pendre, suspendre, attacher à une voûte, à des piliers, etc. Se dit particulièrement en parlant des choses que l’on offre, que l’on consacre dans une église, dans un temple, en signe de reconnaissance, de respect ou pour conserver un souvenir.
APPENTIS	Demi-comble, toit en manière d’auvent à un seul égout, appuyé contre une muraille et soutenu en avant par des piliers ou des poteaux.
APPLIQUE	Luminaire appliqué au mur.
APPONDRE	Attacher ; joindre ; relier ; mettre bout à bout.
APPONTER	Se poser sur le pont d’un porte-aéronefs.
APPORTER	Annoncer.
APPRENTI	Maçon nouvellement initié.
APPROCHE	Interlettrage.
APPUYOIR	Outil de bois, plat, pour appuyer les feuilles de fer-blanc ou de zinc à souder.
APREMONT	Vin blanc sec de Savoie dont l’AOC a été créée en 1973. Il est localisé sur les communes d’Apremont, Les Marches et Saint-Baldoph.
APTITUDE	Compétence à recevoir un legs.
APTONYME	Nom de famille possédant un sens lié à la personne qui le porte, le plus souvent en relation avec son métier ou ses occupations.
APYREXIE	Intermission ou cessation de la fièvre.
AQUABIKE	Aquacycle.
AQUACOLE	Synonyme de .
AQUARIUM	Tableau d’affichage vitré.
AQUAZOLE	Carburant constitué d’une émulsion de gazole et d’eau, permettant de réduire les rejets polluants.
AQUILAIN	Cheval dont la robe est de cette couleur.
AQUILONS	Pluriel d’.
AQUITAIN	Relatif à la région d’Aquitaine, en France, ou à ses habitants.
ARABETTE	Nom vernaculaire utilisé pour désigner une quarantaine de plantes de la famille des Brassicacées (ex. crucifères), mais réparties en plusieurs genres (principalement Arabis). Leurs graines contiennent une grande quantité d’huile et dont toutes les parties jouissent de propriétés stimulantes.
ARABIQUE	Relatif à l’Arabie.
ARABISER	Affecter du personnel arabe.
ARABISME	Système politique propre au monde arabe.
ARABUSTA	Café produit à partir de cette plante.
ARACHIDE	Le mot arachide peut aussi désigner le fruit de l'arachide, en tant que synonyme de cacahuète.
ARALDITE	Type de colle à base de résine époxyde accompagnée d'un durcisseur (polymérisant) dans un contenant à part.
ARATOIRE	Qui a rapport au labourage, ou aux espaces agricoles labourables.
ARBITRAL	Qui est composé d’arbitres.
ARBITRER	Décider en qualité d’arbitre.
ARBORAIS	Habitant d’Arbori, commune française située dans le département de la Corse-du-Sud.
ARBUSTIF	Qualifie une strate, une formation ou groupement de plantes incluant des arbustes.
ARCADIEN	Habitant de l’Arcadie.
ARCANSON	Colophane.
ARCATURE	Suite de petites arcades en saillie ou simulées sur un mur, portées par des colonnettes ou des corbeaux.
ARCHANGE	Dans la hiérarchie angélique, être d’un rang supérieur à l’ange.
ARCHELLE	Personne d'apparence frêle, mais très résistante, comme le brin d’osier.
ARCHERIE	Troupe d’archers.
ARCHIDUC	Titre de dignité des princes et des princesses de l’ancienne maison d’Autriche.
ARCHINUL	Très nul, nul de chez nul.
ARCHIPEL	Mer Égée.
ARCHIVER	Ranger ou conserver un document parmi des archives.
ARCHIVES	Dépôt où l’on conserve ces documents.
ARCHONTE	Titre des principaux magistrats dans quelques républiques, et particulièrement à Athènes.
ARCTIQUE	Autre nom de l’océan Arctique.
ARDENTES	Canton français, situé dans le département de l’Indre.
ARDILLON	Pointe inversée de l’hameçon.
ARDOISER	Recouvrir d'ardoises.
ARGANIER	Nom usuel de Argania spinosa, arbre endémique de la région côtière du sud-ouest du Maroc, de la famille des Sapotaceae (Sapotacées), dont la graine oléagineuse fournie de l'huile.
ARGENTAN	Commune française, située dans le département de l’Orne.
ARGENTAT	Village et ancienne commune française, située dans le département de la Corrèze intégrée à la commune d’Argentat-sur-Dordogne en janvier 2017.
ARGENTER	Revêtir d’une couche d’argent.
ARGENTIN	Personne qui vit en Argentine ou en est originaire.
ARGENTON	Ancien nom de la commune française Argenton-sur-Creuse.
ARGIENNE	Personne féminine provenant d’Argos ou de l’Argolide.
ARGILEUX	Qui tient de l’argile.
ARGININE	Acide aminé aliphatique, diaminé et polaire dont le groupement latéral contient une guanidine.
ARGONIDE	Famille des gaz rares de l’air, dont l’argon est le plus courant.
ARGOTIER	Locuteur en argot.
ARGOULET	Homme de rien.
ARGOUSIN	Policier.
ARGOVIEN	habitant ou personne originaire de l’Argovie
ARGUMENT	Moyen pour convaincre.
ARGYROSE	Affection de l'œil analogue à l'argyrisme.
ARLEQUIN	Personnage de la commedia dell’arte.
ARLONAIS	Pays d’Arlon.
ARMAGNAC	Nom de maison.
ARMAILLI	Pâtre des alpages de la région de Fribourg, mais aussi en Savoie
ARMATEUR	Qui s’occupe de l’armement des navires.
ARMATOLE	Soldat grec appartenant à une sorte de milice chargée de maintenir l'ordre entre le et le siècle.
ARMATURE	Ce qui structure une chose.
ARMEMENT	Compagnie maritime.
ARMILLES	Petites moulures en façon d’anneaux qui entourent le chapiteau dorique, immédiatement au-dessous de l’ove.
ARMINIEN	Relatif à l’arminianisme.
ARMORIAL	Qui se rapporte aux armoiries.
ARMORIER	Orner d’armoiries.
ARMURIER	Des armes, de l’armement.
ARNAQUER	Escroquer ; voler ; tromper.
AROUMAIN	Relatif à l’aroumain.
ARPENTER	Mesurer des terres par toute mesure agraire.
ARRACHER	Préserver ; soustraire à un danger.
ARRACHIS	Ces plants eux-mêmes.
ARRANGER	Mettre sur pied, organiser.
ARRENTER	Donner à rente.
ARRIMAGE	Action d’arrimer ou résultat de cette action, qui consiste à arranger convenablement et placer avec solidité à l’intérieur d’un bâtiment les divers objets qui composent sa charge, sa cargaison.
ARRIMEUR	Celui qui arrime les marchandises dans un bateau.
ARRIVAGE	Lieu d’arrivage.
ARRIVANT	Qui vient d’arriver.
ARROGANT	Qui montre de l’arrogance.
ARRONDIR	Rendre rond.
ARROSAGE	Bombardement intense.
ARROSEUR	Appareil qui arrose.
ARROSOIR	Contenu d’un arrosoir (sens 1).
ARTHRITE	Nom générique qui désigne les inflammations aiguës ou chroniques des articulations.
ARTHROSE	Arthrite.
ARTIFICE	Engin.
ARTISANE	Épouse d’un artisan,.
ARVICOLE	Qui vit dans les champs labourés.
ARYTHMIE	Absence de rythme régulier.
ASCARIDE	Nom de famille.
ASHANTIS	Ethnie du Ghana.
ASIARQUE	Magistrat associé au sacerdoce et présidant les jeux sacrés que célébraient en commun les villes grecques d'Asie.
ASILAIRE	Relatif à l’asile, à l’hôpital psychiatrique.
ASINERIE	Ânerie (étable pour les ânes).
ASOCIALE	Femme qui éprouve des difficultés à s’adapter à la vie sociale.
ASPERGER	Nom de famille autrichien.
ASPERGES	Variante de’' aspergès.
ASPERMIE	Absence de graine.
ASPHALTE	La chaussée elle-même.
ASPHYXIE	Arrêt plus ou moins long de la respiration, produit par différentes causes, telles que la submersion, la strangulation, l’absorption de gaz irrespirables, la compression du thorax, le rétrécissement du larynx, etc.
ASPIDIUM	Nom obsolète ambigu donné à plusieurs genres de fougères comme l’athyrium (Athyrium), Christella, etc.
ASPIRAIL	Trou pratiqué dans un fourneau pour que l’air puisse y pénétrer.
ASPIRANT	Qui aspire.
ASPIRINE	N’importe quel calmant.
ASSAILLI	Celui qui est victime d'un assaut.
ASSAINIR	Rendre sain.
ASSAMAIS	Habitant de l’Assam, État du nord-est de l’Inde.
ASSASSIN	Qui va donner la mort.
ASSAVOIR	ou (Utilisé uniquement dans ) Savoir.
ASSERTIF	Qui a le caractère de l’assertion.
ASSERVIR	Réguler ; contrôler.
ASSIETTE	Situation sociale.
ASSIGNAT	Billet de banque.
ASSIGNER	Déterminer.
ASSISTER	Secourir ; aider.
ASSOCIER	L’y faire participer, unir, joindre.
ASSOMBRI	Rendu soucieux.
ASSOMMER	Endormir.
ASSONAIS	Habitant d’Asson, commune française située dans le département des Pyrénées-Atlantiques.
ASSONANT	Qui produit une assonance.
ASSORTIR	Convenir.
ASSOUPIE	Femme dans un demi-sommeil.
ASSOUPIR	Endormir à demi.
ASSOUPLI	Qui est rendu plus souple.
ASSOURDI	Qualifie un événement atténué.
ASSOUVIR	Satisfaire un besoin, une envie.
ASSURAGE	Action d'assurer.
ASSUREUR	Personne qui assure un dommage, un risque.
ASSYRIEN	Habitant de l’Assyrie (XX–VII siècles av. J.-C.).
ASTANAIS	Habitant d’Astana, capitale du Kazakhstan.
ASTIQUER	Faire sa toilette.
ASTRAKAN	Tissu qui imite le toucher de cette fourrure.
ASTRANCE	Genre de plantes de la famille des apiacées, dont une espèce est commune dans les Alpes et les Pyrénées.
ASTRONEF	Appareil conçu pour évoluer dans l’espace.
ASTURIEN	Habitant des Asturies, personne originaire des Asturies.
ASYSTOLE	Arrêt de l'activité cardiaque complète : sans contraction et sans activité électrique.
ATARAXIE	Absence de trouble dans l’appareil digestif.
ATAVIQUE	Ancestral.
ATAVISME	Transmission héréditaire de certains traits physiques ou moraux.
ATAXIQUE	Relatif à l’ataxie.
ATELIERS	Séance en ateliers.
ATELLANE	Sorte de farce jouée dans les théâtres romains.
ATMOLYSE	Technique de séparation des mélanges gazeux par endosmose, effusion.
ATOMIQUE	Qui a rapport aux atomes.
ATOMISER	Détruire avec une arme atomique.
ATOMISME	Théorie chimique concernant les atomes.
ATOMISTE	Relatif à l’atomisme.
ATONIQUE	Qui a rapport à l’atonie.
ATOPIQUE	Relatif à l’atopie.
ATOXIQUE	Qui n’a pas de venin.
ATRABILE	Maladie hypocondriaque.
ATRAZINE	Composé hétérocyclique à un noyau de la famille des triazines de formule brute , utilisé comme herbicide de nombreuses plantes graminées et dicotylédones dans les cultures de maïs, de sorgho, de canne à sucre, voire dans le vergers de pommiers âgés, et dans les zones incultes.
ATROPHIE	Diminution, rétrécissement, échec de croissance, d’une chose, d’une activité.
ATROPINE	Alcaloïde à noyau tropane, très toxique, tiré, entre autre, de la belladone. C'est un antagoniste cholinergique muscarinique qui provoque la dilatation des pupilles.
ATTABLER	Faire asseoir à table.
ATTACHER	Attribuer, faire dépendre de.
ATTAQUER	Ronger ; .
ATTARDER	Se mettre en retard, demeurer plus longtemps qu’il ne le faudrait.
ATTEINTE	Affection morbide.
ATTELAGE	Action d’atteler.
ATTENANT	Qui tient à … , en parlant des pièces d’un appartement, des maisons ou des parcelles d’un terrain.
ATTENDRE	Entendre, ouïr.
ATTENTAT	Entreprise criminelle contre les personnes ou les choses.
ATTENTER	Commettre un attentat.
ATTENTIF	Cavalier, chevalier servant, amoureux.
ATTERRER	Abattre, renverser par terre.
ATTERRIR	Reprendre contact avec le sol.
ATTESTAT	Attestation.
ATTESTER	Prendre à témoin.
ATTIRAIL	Ensemble d’éléments abstraits inutiles.
ATTISANT	Qui attise, qui excite.
ATTISOIR	Barre à crochet pour attiser le feu.
ATTITRER	Donner la préférence à un professionnel ou à un commerçant.
ATTITUDE	Orientation.
ATTOQUER	Appuyer.
ATTORNEY	Homme de loi mandataire ; procureur ou avoué au Royaume-Uni, sorte d’avocat aux États-Unis.
ATTRAIRE	Tirer.
ATTRAPER	Prendre ; saisir.
ATTRIBUT	Organes sexuels.
ATYPIQUE	Qui n’a pas de type déterminé.
ATYPISME	Tendance à adopter en toutes circonstances le contraire des idées, des modes, des mœurs, du langage du milieu dans lequel on vit, du groupe auquel on appartient.
AUBIFOIN	Centaurée bleuet, appelée aussi bleuet.
AUBINAIS	Habitant de Saint-Aubin-Fosse-Louvain, commune française située dans le département de la Mayenne.
AUDIENCE	Nom de certains tribunaux d’Espagne.
AUDIOTEX	Service automatisé délivrant des messages vocaux digitalisés reçus par téléphone.
AUDITEUR	Qui écoute.
AUDITION	Action d’entendre.
AUDITIVE	Personne chez qui l’ouïe est plus importante que pour la moyenne.
AUDONIEN	Relatif à Saint-Ouen, commune française située dans le département du Loir-et-Cher.
AULACODE	Mammifère rongeur du genre Thryonomys, de la taille d’un grand lapin ou d’un chat, apparenté au porc-épic et au cochon d’Inde, à grosse tête et petites oreilles rondes, qui habite l’Afrique centrale.
AUMAILLE	Cheptel bovin, troupeau de bêtes à cornes.
AUMONIER	Relatif à Aumont, commune française située dans le département du Jura.
AUNISIEN	Personne habitant ou originaire de l’Aunis, ancienne province française qui s’étendait du marais poitevin au Nord au cours de la Charente au Sud, créée en 1374 et fondue avec la Saintonge en 1790.
AURICULE	Lobe, partie charnue de l’oreille externe.
AURIFIER	Recouvrir d'or ; dorer.
AUSTRALE	Nom d'un minéral, sous forme de sable, trouvé en Australie.
AUTARCIE	Frugalité, sobriété, tempérance.
AUTOCOAT	Type de pardessus s’arrêtant à la hauteur du genou, spécialement conçu pour la conduite automobile.
AUTOGAME	Se dit d’une plante qui s’autoféconde.
AUTOGARE	Lieu permettant à une ou des compagnies d’autocars d’assurer un service centralisé aux voyageurs.
AUTOGIRE	Girodyne dont la voilure tournante n’est pas motorisée.
AUTOGOAL	(Suisse?) But contre son camp, autobut.
AUTOLYSE	Suicide.
AUTOMATE	Qui se meut soi-même.
AUTOMNAL	Qui appartient à l’automne.
AUTONOME	Qui se suffit à lui-même.
AUTONYME	Tautonyme.
AUTOPONT	Pont enjambant un carrefour ou un axe plutôt encombré d’ordinaire et permettant à la circulation sur un axe privilégié et majoritairement chargé de s’écouler sans avoir à subir les arrêts (feux tricolores ou stop) d’un carrefour classique. .
AUTOPORT	Hameau de .
AUTOPSIE	Inspection de toutes les parties d’un cadavre ; examen de l’état dans lequel elles se trouvent.
AUTORAIL	Véhicule ferroviaire automoteur destiné au transport de voyageurs.
AUTOSOME	Chromosome qui ne détermine pas le sexe de la personne.
AUTOTEST	Désignation générique des moyens individuels de dépistage d’un virus (sida, coronavirus, etc.) permettant de savoir rapidement si l’on est infecté.
AUTOTOUR	Circuit touristique avec location de voitures.
AUTRUCHE	Commune française, située dans le département des Ardennes.
AUTUNITE	Minéral qui est un phosphate d’uranium et de calcium hydraté de formule .
AUVERNAT	Vin rouge de l'Orléanais.
AVALABLE	Qui peut être avalé.
AVALASSE	Chute impétueuse de pluie.
AVALISER	Appuyer, donner son aval à quelqu’un ou à une cause.
AVALISTE	Personne qui donne son aval
AVANTAGE	Dessus.
AVENTURE	Hasard.
AVERSION	Violente antipathie ; répugnance.
AVEUGLER	Rendre aveugle.
AVIATEUR	Aéronef.
AVIATION	Terrain d’aviation
AVIFAUNE	Faune aviaire, ensemble d’oiseaux ou d’espèces d’oiseau d’un milieu spécifique.
AVOCATES	Pluriel d’avocate.
AVOCETTE	Nom générique de quatre oiseaux de la famille des Recurvirostridae.
AVOINAIS	Habitant d’Avoine, commune de l’Orne.
AVORTEUR	Personne pratiquant un avortement.
AVOUABLE	Que l’on peut avouer.
AVULSION	Arrachement d’une partie de la rive d’un cours d’eau.
AXONAISE	Habitante de l’Aisne ou en provient.
AYURVEDA	Médecine traditionnelle hindoue.
AZIMUTAL	Instrument azimutal.
AZOTIQUE	Relatif à l’azote.
AZOTURIE	Myoglobinurie paroxystique du cheval.
BAASISME	Théorie du parti Baath, au Moyen-Orient.
BAASISTE	Relatif au .
BABELUTE	Friandise (souvent en forme de longue sucette) très sucrée à base de miel et de beurre que l'on vend principalement sur la côte belge.
