ABAISSER	Se baisser.
AISANCES	Lieu pratiqué dans une maison pour y satisfaire les besoins naturels.
AISSELLE	Creux, renfoncement.
AISSETTE	Marteau qui d’un côté a une tête ronde et de l’autre un large tranchant.
AJACCIEN	Relatif à Ajaccio, commune française située dans le département de la Corse-du-Sud.
AJOINTER	Joindre par les extrémités bout à bout.
AJOURNER	Assigner quelqu’un à un certain jour en justice.
AJUSTAGE	Action d’ajuster.
AJUSTEUR	Celui qui ajuste les monnaies.
AJUSTOIR	Petite balance où l’on pesait et ajustait les monnaies avant de les marquer et qu’on appelle maintenant trébuchet.
AJUSTURE	Légère concavité donnée au fer pour qu’il soit ajusté au pied.
AKKADIEN	Habitant d’Akkad.
ALANDIER	Bouche ou foyer placé à la base d’un four à céramique.
ALANGUIR	Rendre languissant.
ALAOUITE	Membre d’un groupe ethnique et religieux, adepte d’une branche du chiisme, vivant principalement en Syrie.
ALARMANT	Qui alarme, inquiétant.
ALASKIEN	Habitant ou originaire de l’Alaska.
ALASTRIM	Variole bénigne se rencontrant principalement aux Antilles presque toujours parmi des populations noires.
ALATERNE	Arbrisseau, espèce de nerprun, dont les feuilles sont rangées alternativement le long des tiges.
ALBACORE	Thon blanc (Thunnus alalunga).
ALBANAIS	Habitant d’Alban, commune du Tarn.
ALBATROS	Avion allemand de la marque Albatros.
ALBIZZIA	Arbre de la famille des Fabacées, sous-famille des Mimosacées, également dénommé acacia de Constantinople ou arbre de soie, allusion au velouté de ses fleurs plumeuses. Il en existe 150 espèces environ.
ALBRAQUE	Lieu de rassemblement des eaux dans un puits de mine avant leur pompage.
ALBUGINE	Qui a une couleur blanche, laiteuse, en parlant d’un élément anatomique tel qu’un tissu ou une membrane.
ALBUMINE	Protéine qu’on trouve dans diverses matières végétales et animales.
ALBUMOSE	Protéine issue de la digestion de l'albumine.
ALCALOSE	Qualité de ce qui est basique, employé en médecine pour désigner un sang qui présente un pH élevé.
ALCHIMIE	Intrigue, manigance.
ALCOOLAT	Liquide provenant de la distillation de l’alcool sur des substances aromatiques ou végétales.
ALDERMAN	Officier municipal, magistrat en Angleterre et aux États-Unis.
ALENTOUR	Aux environs.
ALEURITE	Genre de plantes oléagineuses de la famille des euphorbiacées comprenant plusieurs espèces originaires d'Asie et d'Amérique du Sud, et comprenant entre autres le bancoulier (Aleurites moluccana).
ALEURODE	Insecte ravageur des cultures et particulièrement des cultures sous serres ou abris.
ALEURONE	Protéine de réserve des graines.
ALEVINER	Peupler un étang avec de l’alevin.
ALEXIQUE	Relatif à l’alexie.
ALFATIER	Relatif à l’alfa.
ALGARADE	Discussion vive et inattendue, dispute.
ALGICIDE	Qui détruit les algues.
ALGINATE	Sel de l’acide alginique, utilisé notamment dans la dentisterie et l’industrie des colles.
ALGONKIN	autre orthographe de algonquin
ALGUAZIL	Officier de corrida.
ALIBORON	Personnage ou animal ignorant, stupide, ridicule.
ALICANTE	Ville d’Espagne.
ALIFORME	Qui est en forme d’aile.
ALIMENTS	Tout ce qu’il faut pour nourrir et entretenir une personne.
ALIQUOTE	Nombre qui est aliquote d'un autre.
ALLAITER	Nourrir de son lait.
