ABASOURDI	Extrêmement surpris
DOUBLETTE	À la belote, équipe de deux joueurs
DOUBLEUSE	Ouvrière qui fabrique du doublé
DOXOLOGIE	Énoncé d’une opinion généralement admise
DRACONIEN	ressemble à un dragon
DRASTIQUE	Remède très énergique
DROGUERIE	Pêche et préparation du hareng
DRUIDIQUE	a rapport aux druides ou au druidisme
DUBITATIF	éprouve un doute
DULCICOLE	vit en eau douce
DUUMVIRAL	a rapport aux duumvirs
DYNAMISME	Énergie, élan, entrain, fougue
DYSPHAGIE	Gêne ou sensation de gêne lors de la
DYSPHONIE	Altération du timbre ou de l'intensité de la
DYSSOCIAL	contrevient à la norme sociale
DYSURIQUE	a rapport à la dysurie
EFFICIENT	produit un effet
EFFRANGER	S’effilocher par l’effet d’une déchirure ou de l’usure
EFFRAYANT	Très important, excessif
EMBALLANT	est intéressant, excitant, attrayant
EMBALLEUR	Séducteur, dragueur
EMBARQUER	Arrêter quelqu'un
EMBAUMANT	répand une odeur suave
EMBOLIQUE	a le caractère de l’embolie
EMBOURRER	Pénétrer sexuellement
EMBRAYEUR	Système qui permet dʼembrayer un moteur
EMPANNAGE	Manœuvre qu’effectue un voilier lorsqu’il change d’amures en
EMPIERRER	Revêtir de pierre grossière une chaussée, un fossé,
EMPORTANT	emporte, qui entraîne
ENCASTRER	Insérer entre deux éléments
ENCLOUAGE	enclouer une pièce de canon
ENCOLLAGE	Apprêt avec lequel on encolle
ENCRIVORE	dévore l’encre
ENDOCRINE	déverse ou se déverse directement dans le sang
ENDOSSURE	Préparation du dos d’un livre relié
ENDURABLE	peut être enduré
ENDURANCE	Faculté, force d’endurer la fatigue physique, les privations
ENGAGEANT	engage, qui séduit, en parlant des choses
ENGAINANT	entoure la tige d’un végétal (feuilles, fleurs etc.)
ENGERBAGE	engerber les blés qui sont en javelles
ENGOURDIR	Atténuer un sentiment
ENGRAVURE	engraver, résultat de cette action
ENGUEULER	S'injurier mutuellement
ENJAILLER	Séduire, plaire
ENRAGEANT	fait enrager
ENROULAGE	enrouler, de s’enrouler
ENROULEUR	sert pour enrouler
ENTABLURE	L’endroit où se trouve le pivot, dans les
ENTENDANT	entend depuis la naissance
ENTONNAGE	mettre un liquide en tonne
ENTRAIDER	S’aider mutuellement
ENTRAIMER	S’aimer mutuellement
ENTREVOUS	Matériaux que l’on met dans cet espace, comme
ENVERGURE	Étendue, rayon, dimension
ERGONOMIE	Caractère facilement utilisable d’un produit (mobilier, outil, objet,
ERMINETTE	, outil pour amincir les pièces de bois
ERRATIQUE	n’est pas fixe
ERREMENTS	Manière dont une affaire est conduite
ESCLAVAGE	État ou condition d’un ou d’une esclave
ESPIONITE	Paranoïa, délire de persécution qui fait croire qu'on
ESPIONNER	Épier ; guetter ; surveiller
ESSANVAGE	détruire les sanves
ESSOUCHER	Ôter les souches d’un terrain
ESTIMABLE	mérite d’être estimé
ESTIMATIF	contient une estimation
ESTROPIER	Altérer, déformer
ESTURGEON	Œufs d’esturgeon
ETHNARQUE	règne sur, qui dirige un peuple
EURYTHMIE	Régularité dans les battements du cœur, du pouls
EXCENTRER	Déplacer en dehors du centre, éloigner
EXCITABLE	est susceptible d’être excité
EXCLUSION	exclure ou fait d’être exclu
EXCUSABLE	peut être excusé
EXHAUSSER	Élever, surélever, augmenter la hauteur en parlant surtout
EXHAUSTIF	absorbe toutes les ressources ou consume toutes les
EXORCISTE	Prêtre à qui l’Église donne le droit d’exorciser
EXPANSION	Élan, effusion
EXPERTISE	Procès-verbal, rapport des experts
EXPIATION	expier ou résultat de cette action
EXPRESSIF	a beaucoup d’expression
EXTASIANT	provoque l’extase
EXTINCTIF	éteint, qui annule
EXTRADOUX	Très doux
EXTRAFORT	Très fort
EXTRAPLAT	Très plat
EXTRUSION	Émission de lave sans projection ni écoulement, qui
FABULISTE	relève de la fable
FANTASSIN	concerne les fantassins
FARDELAGE	Procédé d’emballage consistant à envelopper des fardeaux sous
FARNIENTE	Oisiveté à laquelle on prend plaisir
FASCICULE	Poignée d’herbes, de plantes
FASCINANT	suscite une profonde attirance
FATALISME	Enchaînement fatal, inévitable, logique
FATALISTE	concerne le fatalisme
FATIDIQUE	révèle ce que les destins ont ordonné
FATIGABLE	peut être soumis à la fatigue
FAUFILAGE	faufiler, coudre à longs points en attendant lʼassemblage
FAVORABLE	est à l’avantage de quelqu’un ou de quelque
FAVOUILLE	ou crabe vert
FEIGNANTE	Fainéante ; paresseuse
FELQUISTE	se rapporte au ou à ses militants
FENESTRER	Opérer une ouverture, une fenêtre, dans
FERMENTER	Être en fermentation
FERMETURE	fermer, de clore
FERREMENT	ferrer un cheval
FEUILLAGE	L’ensemble des feuilles d’un ou de plusieurs arbres
FEUTRABLE	est susceptible de se feutrer
FIBRINEUX	Composé de fibrine, qui en contient, qui en
FIBULAIRE	est en lien avec la fibula
FILIATION	Degré de génération des père et mère aux
FILIFORME	est délié comme un fil
FILOUTAGE	Métier de filou
FINANCEUR	apporte un financement
FINISSAGE	finir, résultat de cette action, achèvement
FINISSANT	se termine
FINITISME	Théorie affirmant qu’il convient de privilégier les valeurs
FISTULEUX	est de la nature de la fistule
FLATULENT	pète, pétant
FLIBUSTER	Être flibustier
FLOCULANT	favorise la floculation
FLOCULENT	forme des flocons
FLORAISON	État des plantes en fleurs
FLORIBOND	porte beaucoup de fleurs
FOLLEMENT	D’une manière folle, imprudente, excessive
FONCEMENT	creuser dans la terre
FONGICIDE	détruit les champignons ou limite leur expansion
FORCEMENT	forcer ou d’augmenter fictivement les chiffres
FORGEABLE	peut se forger ; qui peut se travailler
FORMATAGE	mettre en page un contenu
FORMICANT	produit une sensation analogue au picotement des fourmis
FOUETTANT	fouette, qui cingle
FOUETTARD	ou menace d’un
FOUISSAGE	fouir, creusement de la terre
FOUISSEUR	permet de fouir, de creuser
FRACASSER	Échouer lamentablement
FRAYEMENT	frayer un chemin
FRELATAGE	frelater ou résultat de cette action
FRIGIDITE	Minéral, variété nickélifère de tétraédrite
FRIPONNER	Dépouiller adroitement quelqu’un
FRUCTUEUX	produit du fruit
FULGURANT	produit des éclairs
FULMINANT	lance la foudre, qui est armé de la
FUSIFORME	a la forme d’un fuseau
FUSILLADE	Décharge de plusieurs fusils, dans un combat, dans
GABARIAGE	gabarier; résultat de cette action
GABARRIER	Maître ou matelot d’une gabarre
GABIONNER	Protéger avec des gabions
GADIFORME	concerne ou qui est caractéristique des gadiformes
GAGUESQUE	Drôle, comique, blagueur, qui relève du gag
GALACTOSE	Galactopoïèse, production du lait
GANADERIA	Élevage taurin destiné à produire des taureaux pour
GARGANTUA	Héros de , géant truculent
GASPILLER	Dépenser ou consommer avec prodigalité
GAUDRIOLE	L'amour physique, le sexe
GAZONNANT	pousse, qui se développe en forme de gazon
GAZONNEUX	Où croît le gazon
GEMMIPARE	produit des bourgeons
GENTILLET	est assez gentil, assez agréable, mais sans plus
GERCEMENT	gercer, effet de cette action
GERMANIUM	Détecteur composé de germanium utilisé pour détecter les
GERMICIDE	détruit les germes
GESTATION	État d’un individu qui est porté
GIBELOTTE	Espèce de fricassée de lapin
GIGAFLOPS	Unité de mesure de puissance de calcul numérique,
GITOLOGIE	Étude des gites
GITOLOGUE	Spécialiste de gitologie
GLACIAIRE	appartient aux glaciers
GLANDEUSE	Fainéante, flemmarde, femme qui ne fait rien ou
GLOBULEUX	est composé de globules
GLOSSETTE	Comprimé sublingual
GLYPTIQUE	concerne l’art de la gravure sur pierres fines
GLYPTODON	Espèce disparue de tatou géant
GNEISSEUX	appartient au gneiss, qui a le caractère du
GONFLABLE	peut être gonflé
GOULUMENT	D’une manière goulue
GRACIABLE	est susceptible de grâce
GRAISSEUX	est taché de graisse
GRANDELET	commence à grandir
GRANDIOSE	frappe l’imagination par un caractère de grandeur ou
GRANITEUX	a l’aspect, la texture, du granit
GRANIVORE	se nourrit de grains
GRANULEUX	Divisé en petits grains
GRATICULE	Châssis qui sert à graticuler
GRAVELAGE	graveler, conséquence de cette action
GRECQUAGE	grecquer, résultat de cette action
GRENAILLE	Métal réduit en menus grains
GREYHOUND	Lévrier greyhound
GRIOTIQUE	concerne les griots africains
